description,manufacturer,model,payment,price,release_year,body,color,doors,drive,engine_volume,fuel,seats,transmission,title,user_id
Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Dodge,Shadow,HOUR,24359,1992,SEDAN,BLACK,4,ALL,1.4,ELECTRIC,2,CVT,Vestibulum rutrum rutrum neque.,17
"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Pontiac,Parisienne,HOUR,10614,1985,PICKUP,BLUE,2,FRONT,2.0,PETROL,3,AT,Nulla nisl.,13
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Toyota,Celica,HOUR,7654,1998,SUV,RED,3,ALL,2.2,DIESEL,3,AT,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",14
Vivamus vel nulla eget eros elementum pellentesque.,Subaru,SVX,DAILY,24716,1995,HATCHBACK,TAN,2,ALL,1.2,DIESEL,6,MT,Mauris lacinia sapien quis libero.,12
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Lexus,ES,DAILY,18662,2009,VAN,SILVER,2,FRONT,3.0,ELECTRIC,5,AMT,Etiam pretium iaculis justo.,16
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Isuzu,Stylus,DAILY,10932,1992,CONVERTIBLE,GREEN,2,ALL,3.3,DIESEL,2,AT,Vivamus vestibulum sagittis sapien.,5
"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Mazda,Mazdaspeed 3,HOUR,22819,2011,JEEP,BROWN,3,BACK,2.3,PETROL,6,AT,Maecenas ut massa quis augue luctus tincidunt.,13
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Cadillac,XLR,DAILY,14866,2008,VAN,BLACK,3,FRONT,3.0,DIESEL,5,AMT,Aenean sit amet justo.,10
Vivamus tortor.,Toyota,MR2,DAILY,10007,1987,WAGON,WHITE,3,FRONT,1.7,DIESEL,5,MT,Suspendisse potenti.,14
Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Nissan,Titan,DAILY,8517,2004,PICKUP,BLUE,2,BACK,1.3,PETROL,6,AT,Mauris sit amet eros.,14
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Volkswagen,Golf,HOUR,10392,1987,CONVERTIBLE,ORANGE,4,FRONT,1.4,PETROL,5,CVT,Ut at dolor quis odio consequat varius.,10
"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Hyundai,Accent,DAILY,14136,2003,CONVERTIBLE,TAN,4,BACK,3.0,DIESEL,2,AMT,Curabitur at ipsum ac tellus semper interdum.,19
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Mercedes-Benz,S-Class,DAILY,11705,2005,COUPE,WHITE,4,FRONT,3.3,GAS,4,AMT,In blandit ultrices enim.,1
Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Cadillac,Fleetwood,DAILY,15454,1996,VAN,GOLD,2,FRONT,2.9,PETROL,4,AMT,Nullam varius.,9
"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Honda,CR-V,DAILY,7677,2005,COUPE,YELLOW,2,FRONT,3.2,ELECTRIC,3,MT,Aenean lectus.,16
Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Kia,Sportage,DAILY,8368,2012,SEDAN,TAN,3,ALL,3.1,DIESEL,5,AMT,Nulla facilisi.,8
Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Chevrolet,Express,DAILY,8524,2008,HATCHBACK,YELLOW,3,ALL,1.8,GAS,4,AMT,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",20
